name;location;country;lat;lon
"A1-Ring";"Spielburg";"Austria";47.2197;14.7647
"AVUS";"Berlin";"Germany";52.4806;13.2514
"Adelaide Street Circuit";"Adelaide";"Australia";-34.9272;138.617
"Ain Diab";"Casablanca";"Morocco";33.5786;-7.6875
"Aintree";"Liverpool";"UK";53.4769;-2.94056
"Albert Park Grand Prix Circuit";"Melbourne";"Australia";-37.8497;144.968
"Autodromo Enzo e Dino Ferrari";"Imola";"Italy";44.3439;11.7167
"Autodromo Nazionale di Monza";"Monza";"Italy";45.6156;9.28111
"Autódromo Hermanos Rodríguez";"Mexico City";"Mexico";19.4042;-99.0907
"Autódromo Internacional Nelson Piquet";"Rio de Janeiro";"Brazil";-22.9756;-43.395
"Autódromo José Carlos Pace";"São Paulo";"Brazil";-23.7036;-46.6997
"Autódromo Juan y Oscar Gálvez";"Buenos Aires";"Argentina";-34.6943;-58.4593
"Autódromo do Estoril";"Estoril";"Portugal";38.7506;-9.39417
"Bahrain International Circuit";"Sakhir";"Bahrain";26.0325;50.5106
"Baku City Circuit";"Baku";"Azerbaijan";40.3725;49.8533
"Brands Hatch";"Kent";"UK";51.3569;0.263056
"Buddh International Circuit";"Uttar Pradesh";"India";28.3487;77.5331
"Charade Circuit";"Clermont-Ferrand";"France";45.7472;3.03889
"Circuit Bremgarten";"Bern";"Switzerland";46.9589;7.40194
"Circuit Gilles Villeneuve";"Montreal";"Canada";45.5;-73.5228
"Circuit Mont-Tremblant";"Quebec";"Canada";46.1877;-74.6099
"Circuit Park Zandvoort";"Zandvoort";"Netherlands";52.3888;4.54092
"Circuit Paul Ricard";"Le Castellet";"France";43.2506;5.79167
"Circuit de Barcelona-Catalunya";"Montmeló";"Spain";41.57;2.26111
"Circuit de Monaco";"Monte-Carlo";"Monaco";43.7347;7.42056
"Circuit de Nevers Magny-Cours";"Magny Cours";"France";46.8642;3.16361
"Circuit de Pedralbes";"Barcelona";"Spain";41.3903;2.11667
"Circuit de Spa-Francorchamps";"Spa";"Belgium";50.4372;5.97139
"Circuit of the Americas";"Austin";"USA";30.1328;-97.6411
"Circuito da Boavista";"Oporto";"Portugal";41.1705;-8.67325
"Circuito de Jerez";"Jerez de la Frontera";"Spain";36.7083;-6.03417
"Detroit Street Circuit";"Detroit";"USA";42.3298;-83.0401
"Dijon-Prenois";"Dijon";"France";47.3625;4.89913
"Donington Park";"Castle Donington";"UK";52.8306;-1.37528
"Fair Park";"Dallas";"USA";32.7774;-96.7587
"Fuji Speedway";"Oyama";"Japan";35.3717;138.927
"Hanoi Street Circuit";"Hanoi";"Vietnam";21.0166;105.766
"Hockenheimring";"Hockenheim";"Germany";49.3278;8.56583
"Hungaroring";"Budapest";"Hungary";47.5789;19.2486
"Indianapolis Motor Speedway";"Indianapolis";"USA";39.795;-86.2347
"Istanbul Park";"Istanbul";"Turkey";40.9517;29.405
"Jarama";"Madrid";"Spain";40.6171;-3.58558
"Korean International Circuit";"Yeongam County";"Korea";34.7333;126.417
"Kyalami";"Midrand";"South Africa";-25.9894;28.0767
"Las Vegas Street Circuit";"Nevada";"USA";36.1162;-115.174
"Le Mans";"Le Mans";"France";47.95;0.224231
"Long Beach";"California";"USA";33.7651;-118.189
"Marina Bay Street Circuit";"Marina Bay";"Singapore";1.2914;103.864
"Monsanto Park Circuit";"Lisbon";"Portugal";38.7197;-9.20306
"Montjuïc";"Barcelona";"Spain";41.3664;2.15167
"Mosport International Raceway";"Ontario";"Canada";44.0481;-78.6756
"Nivelles-Baulers";"Brussels";"Belgium";50.6211;4.32694
"Nürburgring";"Nürburg";"Germany";50.3356;6.9475
"Okayama International Circuit";"Okayama";"Japan";34.915;134.221
"Pescara Circuit";"Pescara";"Italy";42.475;14.1508
"Phoenix street circuit";"Phoenix";"USA";33.4479;-112.075
"Port Imperial Street Circuit";"New Jersey";"USA";40.7769;-74.0111
"Prince George Circuit";"Eastern Cape Province";"South Africa";-33.0486;27.8736
"Red Bull Ring";"Spielburg";"Austria";47.2197;14.7647
"Reims-Gueux";"Reims";"France";49.2542;3.93083
"Riverside International Raceway";"California";"USA";33.937;-117.273
"Rouen-Les-Essarts";"Rouen";"France";49.3306;1.00458
"Scandinavian Raceway";"Anderstorp";"Sweden";57.2653;13.6042
"Sebring International Raceway";"Florida";"USA";27.4547;-81.3483
"Sepang International Circuit";"Kuala Lumpur";"Malaysia";2.76083;101.738
"Shanghai International Circuit";"Shanghai";"China";31.3389;121.22
"Silverstone Circuit";"Silverstone";"UK";52.0786;-1.01694
"Sochi Autodrom";"Sochi";"Russia";43.4057;39.9578
"Suzuka Circuit";"Suzuka";"Japan";34.8431;136.541
"Valencia Street Circuit";"Valencia";"Spain";39.4589;-0.331667
"Watkins Glen";"New York State";"USA";42.3369;-76.9272
"Yas Marina Circuit";"Abu Dhabi";"UAE";24.4672;54.6031
"Zeltweg";"Styria";"Austria";47.2039;14.7478
"Zolder";"Heusden-Zolder";"Belgium";50.9894;5.25694
