race;circuit;race_date;year;surname;name;stop;lap;duration_in_ms;constructor
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Alguersuari";"Jaime";1;1;26898;"Toro Rosso"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Schumacher";"Michael";1;1;25021;"Mercedes"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Webber";"Mark";1;11;23426;"Red Bull"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Alonso";"Fernando";1;12;23251;"Ferrari"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Massa";"Felipe";1;13;23842;"Ferrari"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Barrichello";"Rubens";1;13;23643;"Williams"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Vettel";"Sebastian";1;14;22603;"Red Bull"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"di Resta";"Paul";1;14;24863;"Force India"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"d'Ambrosio";"Jérôme";1;14;25259;"Virgin"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Buemi";"Sébastien";1;15;25342;"Toro Rosso"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Heidfeld";"Nick";1;15;22994;"Renault"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Hamilton";"Lewis";1;16;23227;"McLaren"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Petrov";"Vitaly";1;16;24535;"Renault"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Rosberg";"Nico";1;16;23716;"Mercedes"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Kobayashi";"Kamui";1;16;24064;"Sauber"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Sutil";"Adrian";1;16;25978;"Force India"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Trulli";"Jarno";1;16;24899;"Lotus"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Button";"Jenson";1;17;16867;"McLaren"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Alguersuari";"Jaime";2;17;24463;"Toro Rosso"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Kovalainen";"Heikki";1;17;24865;"Lotus"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Schumacher";"Michael";2;17;23988;"Mercedes"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Glock";"Timo";1;18;23792;"Virgin"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Button";"Jenson";2;19;23303;"McLaren"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Pérez";"Sergio";1;23;23438;"Sauber"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Barrichello";"Rubens";2;23;37856;"Williams"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Webber";"Mark";2;26;22520;"Red Bull"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Alonso";"Fernando";2;27;24733;"Ferrari"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Barrichello";"Rubens";3;28;16892;"Williams"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Buemi";"Sébastien";2;29;23100;"Toro Rosso"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Heidfeld";"Nick";2;30;25098;"Renault"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Massa";"Felipe";2;31;24500;"Ferrari"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Kobayashi";"Kamui";2;32;24192;"Sauber"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Alguersuari";"Jaime";3;35;26348;"Toro Rosso"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Vettel";"Sebastian";2;36;24036;"Red Bull"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Hamilton";"Lewis";2;36;23199;"McLaren"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Petrov";"Vitaly";2;36;25683;"Renault"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"di Resta";"Paul";2;36;24332;"Force India"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Button";"Jenson";3;37;22681;"McLaren"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Sutil";"Adrian";2;37;23871;"Force India"
"Australian Grand Prix";"Albert Park Grand Prix Circuit";"2011-03-27";2011;"Trulli";"Jarno";2;37;24848;"Lotus"
