pilot;race;race_date;stop;lap;duration_in_ms
"Sebastian";"Australian Grand Prix";"2019-03-17";1;14;21995
"Charles";"Australian Grand Prix";"2019-03-17";1;28;22306
"Charles";"Bahrain Grand Prix";"2019-03-31";1;13;24518
"Sebastian";"Bahrain Grand Prix";"2019-03-31";1;14;24228
"Sebastian";"Bahrain Grand Prix";"2019-03-31";2;35;24212
"Charles";"Bahrain Grand Prix";"2019-03-31";2;36;24358
"Sebastian";"Bahrain Grand Prix";"2019-03-31";3;38;34193
"Sebastian";"Chinese Grand Prix";"2019-04-14";1;18;22749
"Charles";"Chinese Grand Prix";"2019-04-14";1;22;22921
"Sebastian";"Chinese Grand Prix";"2019-04-14";2;35;22316
"Charles";"Chinese Grand Prix";"2019-04-14";2;42;24227
"Sebastian";"Azerbaijan Grand Prix";"2019-04-28";1;11;19981
"Charles";"Azerbaijan Grand Prix";"2019-04-28";1;34;20382
"Charles";"Azerbaijan Grand Prix";"2019-04-28";2;47;19857
"Sebastian";"Spanish Grand Prix";"2019-05-12";1;19;23746
"Charles";"Spanish Grand Prix";"2019-05-12";1;25;23646
"Sebastian";"Spanish Grand Prix";"2019-05-12";2;40;21643
"Charles";"Spanish Grand Prix";"2019-05-12";2;46;21638
"Charles";"Monaco Grand Prix";"2019-05-26";1;9;25964
"Sebastian";"Monaco Grand Prix";"2019-05-26";1;11;24483
"Charles";"Monaco Grand Prix";"2019-05-26";2;16;25705
"Sebastian";"Canadian Grand Prix";"2019-06-09";1;26;23782
"Charles";"Canadian Grand Prix";"2019-06-09";1;33;23732
"Charles";"French Grand Prix";"2019-06-23";1;21;30203
"Sebastian";"French Grand Prix";"2019-06-23";1;25;30044
"Sebastian";"French Grand Prix";"2019-06-23";2;51;30468
"Sebastian";"Austrian Grand Prix";"2019-06-30";1;21;25236
"Charles";"Austrian Grand Prix";"2019-06-30";1;22;21878
"Sebastian";"Austrian Grand Prix";"2019-06-30";2;50;22251
"Charles";"British Grand Prix";"2019-07-14";1;13;28558
"Sebastian";"British Grand Prix";"2019-07-14";1;20;28021
"Charles";"British Grand Prix";"2019-07-14";2;21;28348
"Sebastian";"British Grand Prix";"2019-07-14";2;38;38468
"Sebastian";"German Grand Prix";"2019-07-28";1;2;20094
"Charles";"German Grand Prix";"2019-07-28";1;3;20361
"Charles";"German Grand Prix";"2019-07-28";2;15;22102
"Sebastian";"German Grand Prix";"2019-07-28";2;23;20768
"Charles";"German Grand Prix";"2019-07-28";3;27;20317
"Sebastian";"German Grand Prix";"2019-07-28";3;28;22058
"Sebastian";"German Grand Prix";"2019-07-28";4;41;21256
"Sebastian";"German Grand Prix";"2019-07-28";5;47;19586
"Charles";"Hungarian Grand Prix";"2019-08-04";1;27;21575
"Sebastian";"Hungarian Grand Prix";"2019-08-04";1;39;24819
"Sebastian";"Belgian Grand Prix";"2019-09-01";1;15;22863
"Charles";"Belgian Grand Prix";"2019-09-01";1;21;22449
"Sebastian";"Belgian Grand Prix";"2019-09-01";2;33;22786
"Sebastian";"Italian Grand Prix";"2019-09-08";1;6;32443
"Sebastian";"Italian Grand Prix";"2019-09-08";2;12;31851
"Charles";"Italian Grand Prix";"2019-09-08";1;20;23833
"Sebastian";"Italian Grand Prix";"2019-09-08";3;41;24376
"Sebastian";"Singapore Grand Prix";"2019-09-22";1;19;29384
"Charles";"Singapore Grand Prix";"2019-09-22";1;20;29168
"Charles";"Russian Grand Prix";"2019-09-29";1;22;29548
"Sebastian";"Russian Grand Prix";"2019-09-29";1;26;29860
"Charles";"Russian Grand Prix";"2019-09-29";2;30;29401
"Charles";"Japanese Grand Prix";"2019-10-13";1;3;30502
"Sebastian";"Japanese Grand Prix";"2019-10-13";1;16;24032
"Charles";"Japanese Grand Prix";"2019-10-13";2;25;23580
"Sebastian";"Japanese Grand Prix";"2019-10-13";2;31;23213
"Charles";"Japanese Grand Prix";"2019-10-13";3;46;23280
"Charles";"Mexican Grand Prix";"2019-10-27";1;15;22002
"Sebastian";"Mexican Grand Prix";"2019-10-27";1;37;21862
"Charles";"Mexican Grand Prix";"2019-10-27";2;43;25786
"Charles";"United States Grand Prix";"2019-11-03";1;20;29157
"Charles";"United States Grand Prix";"2019-11-03";2;42;23844
"Sebastian";"Brazilian Grand Prix";"2019-11-17";1;25;23039
"Charles";"Brazilian Grand Prix";"2019-11-17";1;29;22966
"Sebastian";"Brazilian Grand Prix";"2019-11-17";2;49;23138
"Charles";"Brazilian Grand Prix";"2019-11-17";2;54;23042
"Charles";"Abu Dhabi Grand Prix";"2019-12-01";1;12;21697
"Sebastian";"Abu Dhabi Grand Prix";"2019-12-01";1;12;25771
"Charles";"Abu Dhabi Grand Prix";"2019-12-01";2;38;21274
"Sebastian";"Abu Dhabi Grand Prix";"2019-12-01";2;38;21858
