race_name;date;year;vettel_position;teammate;teammate_position;constructor
"Australian Grand Prix";"2008-03-16";2008;\N;"Bourdais";7;"Toro Rosso"
"Malaysian Grand Prix";"2008-03-23";2008;\N;"Bourdais";\N;"Toro Rosso"
"Bahrain Grand Prix";"2008-04-06";2008;\N;"Bourdais";15;"Toro Rosso"
"Spanish Grand Prix";"2008-04-27";2008;\N;"Bourdais";\N;"Toro Rosso"
"Turkish Grand Prix";"2008-05-11";2008;17;"Bourdais";\N;"Toro Rosso"
"Monaco Grand Prix";"2008-05-25";2008;5;"Bourdais";\N;"Toro Rosso"
"Canadian Grand Prix";"2008-06-08";2008;8;"Bourdais";13;"Toro Rosso"
"French Grand Prix";"2008-06-22";2008;12;"Bourdais";17;"Toro Rosso"
"British Grand Prix";"2008-07-06";2008;\N;"Bourdais";11;"Toro Rosso"
"German Grand Prix";"2008-07-20";2008;8;"Bourdais";12;"Toro Rosso"
"Hungarian Grand Prix";"2008-08-03";2008;\N;"Bourdais";18;"Toro Rosso"
"European Grand Prix";"2008-08-24";2008;6;"Bourdais";10;"Toro Rosso"
"Belgian Grand Prix";"2008-09-07";2008;5;"Bourdais";7;"Toro Rosso"
"Italian Grand Prix";"2008-09-14";2008;1;"Bourdais";18;"Toro Rosso"
"Singapore Grand Prix";"2008-09-28";2008;5;"Bourdais";12;"Toro Rosso"
"Japanese Grand Prix";"2008-10-12";2008;6;"Bourdais";10;"Toro Rosso"
"Chinese Grand Prix";"2008-10-19";2008;9;"Bourdais";13;"Toro Rosso"
"Brazilian Grand Prix";"2008-11-02";2008;4;"Bourdais";14;"Toro Rosso"
"Australian Grand Prix";"2009-03-29";2009;13;"Webber";12;"Red Bull"
"Malaysian Grand Prix";"2009-04-05";2009;15;"Webber";6;"Red Bull"
"Chinese Grand Prix";"2009-04-19";2009;1;"Webber";2;"Red Bull"
"Bahrain Grand Prix";"2009-04-26";2009;2;"Webber";11;"Red Bull"
"Spanish Grand Prix";"2009-05-10";2009;4;"Webber";3;"Red Bull"
"Monaco Grand Prix";"2009-05-24";2009;\N;"Webber";5;"Red Bull"
"Turkish Grand Prix";"2009-06-07";2009;3;"Webber";2;"Red Bull"
"British Grand Prix";"2009-06-21";2009;1;"Webber";2;"Red Bull"
"German Grand Prix";"2009-07-12";2009;2;"Webber";1;"Red Bull"
"Hungarian Grand Prix";"2009-07-26";2009;\N;"Webber";3;"Red Bull"
"European Grand Prix";"2009-08-23";2009;\N;"Webber";9;"Red Bull"
"Belgian Grand Prix";"2009-08-30";2009;3;"Webber";9;"Red Bull"
