race_name;date;year;vettel_position;teammate;teammate_position;constructor
"Australian Grand Prix";"2008-03-16";2008;\N;"Bourdais";7;"Toro Rosso"
"Malaysian Grand Prix";"2008-03-23";2008;\N;"Bourdais";\N;"Toro Rosso"
"Bahrain Grand Prix";"2008-04-06";2008;\N;"Bourdais";15;"Toro Rosso"
"Spanish Grand Prix";"2008-04-27";2008;\N;"Bourdais";\N;"Toro Rosso"
"British Grand Prix";"2008-07-06";2008;\N;"Bourdais";11;"Toro Rosso"
"Hungarian Grand Prix";"2008-08-03";2008;\N;"Bourdais";18;"Toro Rosso"
"Australian Grand Prix";"2009-03-29";2009;13;"Webber";12;"Red Bull"
"Malaysian Grand Prix";"2009-04-05";2009;15;"Webber";6;"Red Bull"
"Spanish Grand Prix";"2009-05-10";2009;4;"Webber";3;"Red Bull"
"Monaco Grand Prix";"2009-05-24";2009;\N;"Webber";5;"Red Bull"
"Turkish Grand Prix";"2009-06-07";2009;3;"Webber";2;"Red Bull"
"German Grand Prix";"2009-07-12";2009;2;"Webber";1;"Red Bull"
"Hungarian Grand Prix";"2009-07-26";2009;\N;"Webber";3;"Red Bull"
"European Grand Prix";"2009-08-23";2009;\N;"Webber";9;"Red Bull"
"Brazilian Grand Prix";"2009-10-18";2009;4;"Webber";1;"Red Bull"
"Australian Grand Prix";"2010-03-28";2010;\N;"Webber";9;"Red Bull"
"Spanish Grand Prix";"2010-05-09";2010;3;"Webber";1;"Red Bull"
"Monaco Grand Prix";"2010-05-16";2010;2;"Webber";1;"Red Bull"
"Turkish Grand Prix";"2010-05-30";2010;\N;"Webber";3;"Red Bull"
"British Grand Prix";"2010-07-11";2010;7;"Webber";1;"Red Bull"
"Hungarian Grand Prix";"2010-08-01";2010;3;"Webber";1;"Red Bull"
"Belgian Grand Prix";"2010-08-29";2010;15;"Webber";2;"Red Bull"
"Korean Grand Prix";"2010-10-24";2010;\N;"Webber";\N;"Red Bull"
"German Grand Prix";"2011-07-24";2011;4;"Webber";3;"Red Bull"
"Abu Dhabi Grand Prix";"2011-11-13";2011;\N;"Webber";4;"Red Bull"
"Brazilian Grand Prix";"2011-11-27";2011;2;"Webber";1;"Red Bull"
"Malaysian Grand Prix";"2012-03-25";2012;11;"Webber";4;"Red Bull"
"Chinese Grand Prix";"2012-04-15";2012;5;"Webber";4;"Red Bull"
"Monaco Grand Prix";"2012-05-27";2012;4;"Webber";1;"Red Bull"
"European Grand Prix";"2012-06-24";2012;\N;"Webber";4;"Red Bull"
"British Grand Prix";"2012-07-08";2012;3;"Webber";1;"Red Bull"
