race;date;year;surname;lap;time
"Australian Grand Prix";"2014-03-16";2014;"Alonso";57;01:33.186
"Australian Grand Prix";"2014-03-16";2014;"Räikkönen";56;01:33.210
"Malaysian Grand Prix";"2014-03-30";2014;"Alonso";47;01:44.165
"Malaysian Grand Prix";"2014-03-30";2014;"Räikkönen";36;01:45.129
"Bahrain Grand Prix";"2014-04-06";2014;"Alonso";53;01:39.732
"Bahrain Grand Prix";"2014-04-06";2014;"Räikkönen";35;01:39.438
"Chinese Grand Prix";"2014-04-20";2014;"Alonso";48;01:42.081
"Chinese Grand Prix";"2014-04-20";2014;"Räikkönen";34;01:42.300
"Spanish Grand Prix";"2014-05-11";2014;"Alonso";55;01:29.898
"Spanish Grand Prix";"2014-05-11";2014;"Räikkönen";53;01:30.580
"Monaco Grand Prix";"2014-05-25";2014;"Alonso";54;01:19.727
"Monaco Grand Prix";"2014-05-25";2014;"Räikkönen";75;01:18.479
"Canadian Grand Prix";"2014-06-08";2014;"Alonso";64;01:18.614
"Canadian Grand Prix";"2014-06-08";2014;"Räikkönen";68;01:18.529
"Austrian Grand Prix";"2014-06-22";2014;"Alonso";58;01:12.595
"Austrian Grand Prix";"2014-06-22";2014;"Räikkönen";55;01:12.884
"German Grand Prix";"2014-07-20";2014;"Alonso";57;01:20.548
"German Grand Prix";"2014-07-20";2014;"Räikkönen";55;01:21.338
"Hungarian Grand Prix";"2014-07-27";2014;"Alonso";40;01:27.419
"Hungarian Grand Prix";"2014-07-27";2014;"Räikkönen";47;01:27.983
"Belgian Grand Prix";"2014-08-24";2014;"Räikkönen";39;01:54.090
"Belgian Grand Prix";"2014-08-24";2014;"Alonso";29;01:53.879
"Italian Grand Prix";"2014-09-07";2014;"Räikkönen";43;01:28.942
"Italian Grand Prix";"2014-09-07";2014;"Alonso";23;01:29.680
"Singapore Grand Prix";"2014-09-21";2014;"Alonso";27;01:52.115
"Singapore Grand Prix";"2014-09-21";2014;"Räikkönen";28;01:52.872
"Russian Grand Prix";"2014-10-12";2014;"Alonso";53;01:42.179
"Russian Grand Prix";"2014-10-12";2014;"Räikkönen";45;01:42.919
"United States Grand Prix";"2014-11-02";2014;"Alonso";47;01:41.474
"United States Grand Prix";"2014-11-02";2014;"Räikkönen";54;01:42.888
"Brazilian Grand Prix";"2014-11-09";2014;"Alonso";55;01:14.313
"Brazilian Grand Prix";"2014-11-09";2014;"Räikkönen";37;01:14.963
"Abu Dhabi Grand Prix";"2014-11-23";2014;"Alonso";45;01:47.424
"Abu Dhabi Grand Prix";"2014-11-23";2014;"Räikkönen";46;01:47.736
"Australian Grand Prix";"2015-03-15";2015;"Vettel";52;01:31.457
