race;date;year;surname;lap;time
"Malaysian Grand Prix";"2014-03-30";2014;"Hamilton";53;01:43.066
"Malaysian Grand Prix";"2014-03-30";2014;"Rosberg";55;01:43.960
"Bahrain Grand Prix";"2014-04-06";2014;"Hamilton";49;01:37.108
"Bahrain Grand Prix";"2014-04-06";2014;"Rosberg";49;01:37.020
"Chinese Grand Prix";"2014-04-20";2014;"Hamilton";42;01:41.196
"Chinese Grand Prix";"2014-04-20";2014;"Rosberg";39;01:40.402
"Spanish Grand Prix";"2014-05-11";2014;"Hamilton";54;01:29.483
"Spanish Grand Prix";"2014-05-11";2014;"Rosberg";51;01:29.236
"Monaco Grand Prix";"2014-05-25";2014;"Rosberg";33;01:19.425
"Monaco Grand Prix";"2014-05-25";2014;"Hamilton";34;01:19.361
"Canadian Grand Prix";"2014-06-08";2014;"Rosberg";33;01:18.881
"Canadian Grand Prix";"2014-06-08";2014;"Hamilton";24;01:18.942
"Austrian Grand Prix";"2014-06-22";2014;"Rosberg";50;01:12.598
"Austrian Grand Prix";"2014-06-22";2014;"Hamilton";41;01:12.217
"British Grand Prix";"2014-07-06";2014;"Hamilton";26;01:37.176
"British Grand Prix";"2014-07-06";2014;"Rosberg";26;01:38.091
"German Grand Prix";"2014-07-20";2014;"Rosberg";67;01:21.298
"German Grand Prix";"2014-07-20";2014;"Hamilton";53;01:19.908
"Hungarian Grand Prix";"2014-07-27";2014;"Hamilton";36;01:27.380
"Hungarian Grand Prix";"2014-07-27";2014;"Rosberg";64;01:25.724
"Belgian Grand Prix";"2014-08-24";2014;"Rosberg";36;01:50.511
"Belgian Grand Prix";"2014-08-24";2014;"Hamilton";33;01:53.707
"Italian Grand Prix";"2014-09-07";2014;"Hamilton";29;01:28.004
"Italian Grand Prix";"2014-09-07";2014;"Rosberg";51;01:28.206
"Japanese Grand Prix";"2014-10-05";2014;"Hamilton";39;01:51.600
"Japanese Grand Prix";"2014-10-05";2014;"Rosberg";15;01:52.551
"Russian Grand Prix";"2014-10-12";2014;"Hamilton";48;01:41.606
"Russian Grand Prix";"2014-10-12";2014;"Rosberg";52;01:41.360
"United States Grand Prix";"2014-11-02";2014;"Hamilton";49;01:41.929
"United States Grand Prix";"2014-11-02";2014;"Rosberg";48;01:41.932
"Brazilian Grand Prix";"2014-11-09";2014;"Rosberg";62;01:13.619
"Brazilian Grand Prix";"2014-11-09";2014;"Hamilton";62;01:13.555
"Abu Dhabi Grand Prix";"2014-11-23";2014;"Hamilton";49;01:45.599
"Abu Dhabi Grand Prix";"2014-11-23";2014;"Rosberg";17;01:46.869
"Australian Grand Prix";"2015-03-15";2015;"Hamilton";50;01:30.945
"Australian Grand Prix";"2015-03-15";2015;"Rosberg";47;01:31.092
"Malaysian Grand Prix";"2015-03-29";2015;"Hamilton";45;01:43.125
"Malaysian Grand Prix";"2015-03-29";2015;"Rosberg";43;01:42.062
"Chinese Grand Prix";"2015-04-12";2015;"Hamilton";31;01:42.208
"Chinese Grand Prix";"2015-04-12";2015;"Rosberg";39;01:42.565
"Bahrain Grand Prix";"2015-04-19";2015;"Hamilton";38;01:37.857
"Bahrain Grand Prix";"2015-04-19";2015;"Rosberg";36;01:37.326
"Spanish Grand Prix";"2015-05-10";2015;"Rosberg";53;01:29.109
"Spanish Grand Prix";"2015-05-10";2015;"Hamilton";54;01:28.270
"Monaco Grand Prix";"2015-05-24";2015;"Rosberg";76;01:18.599
"Monaco Grand Prix";"2015-05-24";2015;"Hamilton";42;01:18.676
"Canadian Grand Prix";"2015-06-07";2015;"Hamilton";64;01:17.472
"Canadian Grand Prix";"2015-06-07";2015;"Rosberg";63;01:17.637
"Austrian Grand Prix";"2015-06-21";2015;"Rosberg";35;01:11.235
"Austrian Grand Prix";"2015-06-21";2015;"Hamilton";60;01:11.475
"British Grand Prix";"2015-07-05";2015;"Hamilton";29;01:37.093
"British Grand Prix";"2015-07-05";2015;"Rosberg";24;01:37.403
"Hungarian Grand Prix";"2015-07-26";2015;"Hamilton";68;01:25.727
"Hungarian Grand Prix";"2015-07-26";2015;"Rosberg";68;01:25.149
"Belgian Grand Prix";"2015-08-23";2015;"Hamilton";34;01:52.504
"Belgian Grand Prix";"2015-08-23";2015;"Rosberg";34;01:52.416
"Italian Grand Prix";"2015-09-06";2015;"Hamilton";48;01:26.672
"Italian Grand Prix";"2015-09-06";2015;"Rosberg";43;01:27.067
"Singapore Grand Prix";"2015-09-20";2015;"Rosberg";50;01:50.934
"Singapore Grand Prix";"2015-09-20";2015;"Hamilton";24;01:52.505
