name;date;year;driver;forename
"British Grand Prix";"1951-07-14";1951;"González";"José Froilán"
"German Grand Prix";"1951-07-29";1951;"Ascari";"Alberto"
"Italian Grand Prix";"1951-09-16";1951;"Ascari";"Alberto"
"Swiss Grand Prix";"1952-05-18";1952;"Taruffi";"Piero"
"Belgian Grand Prix";"1952-06-22";1952;"Ascari";"Alberto"
"French Grand Prix";"1952-07-06";1952;"Ascari";"Alberto"
"British Grand Prix";"1952-07-19";1952;"Ascari";"Alberto"
"German Grand Prix";"1952-08-03";1952;"Ascari";"Alberto"
"Dutch Grand Prix";"1952-08-17";1952;"Ascari";"Alberto"
"Italian Grand Prix";"1952-09-07";1952;"Ascari";"Alberto"
"Argentine Grand Prix";"1953-01-18";1953;"Ascari";"Alberto"
"Dutch Grand Prix";"1953-06-07";1953;"Ascari";"Alberto"
"Belgian Grand Prix";"1953-06-21";1953;"Ascari";"Alberto"
"French Grand Prix";"1953-07-05";1953;"Hawthorn";"Mike"
"British Grand Prix";"1953-07-18";1953;"Ascari";"Alberto"
"German Grand Prix";"1953-08-02";1953;"Farina";"Nino"
"Swiss Grand Prix";"1953-08-23";1953;"Ascari";"Alberto"
"British Grand Prix";"1954-07-17";1954;"González";"José Froilán"
"Spanish Grand Prix";"1954-10-24";1954;"Hawthorn";"Mike"
"Monaco Grand Prix";"1955-05-22";1955;"Trintignant";"Maurice"
"Argentine Grand Prix";"1956-01-22";1956;"Musso";"Luigi"
"Argentine Grand Prix";"1956-01-22";1956;"Fangio";"Juan"
"Belgian Grand Prix";"1956-06-03";1956;"Collins";"Peter"
"French Grand Prix";"1956-07-01";1956;"Collins";"Peter"
"British Grand Prix";"1956-07-14";1956;"Fangio";"Juan"
"German Grand Prix";"1956-08-05";1956;"Fangio";"Juan"
"French Grand Prix";"1958-07-06";1958;"Hawthorn";"Mike"
"British Grand Prix";"1958-07-19";1958;"Collins";"Peter"
"French Grand Prix";"1959-07-05";1959;"Brooks";"Tony"
"German Grand Prix";"1959-08-02";1959;"Brooks";"Tony"
"Italian Grand Prix";"1960-09-04";1960;"Hill";"Phil"
"Dutch Grand Prix";"1961-05-22";1961;"von Trips";"Wolfgang"
"Belgian Grand Prix";"1961-06-18";1961;"Hill";"Phil"
"French Grand Prix";"1961-07-02";1961;"Baghetti";"Giancarlo"
"British Grand Prix";"1961-07-15";1961;"von Trips";"Wolfgang"
"Italian Grand Prix";"1961-09-10";1961;"Hill";"Phil"
"German Grand Prix";"1963-08-04";1963;"Surtees";"John"
"German Grand Prix";"1964-08-02";1964;"Surtees";"John"
"Austrian Grand Prix";"1964-08-23";1964;"Bandini";"Lorenzo"
"Italian Grand Prix";"1964-09-06";1964;"Surtees";"John"
"Belgian Grand Prix";"1966-06-12";1966;"Surtees";"John"
"Italian Grand Prix";"1966-09-04";1966;"Scarfiotti";"Ludovico"
"French Grand Prix";"1968-07-07";1968;"Ickx";"Jacky"
"Austrian Grand Prix";"1970-08-16";1970;"Ickx";"Jacky"
"Italian Grand Prix";"1970-09-06";1970;"Regazzoni";"Clay"
"Canadian Grand Prix";"1970-09-20";1970;"Ickx";"Jacky"
"Mexican Grand Prix";"1970-10-25";1970;"Ickx";"Jacky"
"South African Grand Prix";"1971-03-06";1971;"Andretti";"Mario"
"Dutch Grand Prix";"1971-06-20";1971;"Ickx";"Jacky"
"German Grand Prix";"1972-07-30";1972;"Ickx";"Jacky"
"Spanish Grand Prix";"1974-04-28";1974;"Lauda";"Niki"
"Dutch Grand Prix";"1974-06-23";1974;"Lauda";"Niki"
"German Grand Prix";"1974-08-04";1974;"Regazzoni";"Clay"
"Monaco Grand Prix";"1975-05-11";1975;"Lauda";"Niki"
"Belgian Grand Prix";"1975-05-25";1975;"Lauda";"Niki"
"Swedish Grand Prix";"1975-06-08";1975;"Lauda";"Niki"
"French Grand Prix";"1975-07-06";1975;"Lauda";"Niki"
"Italian Grand Prix";"1975-09-07";1975;"Regazzoni";"Clay"
"United States Grand Prix";"1975-10-05";1975;"Lauda";"Niki"
"Brazilian Grand Prix";"1976-01-25";1976;"Lauda";"Niki"
"South African Grand Prix";"1976-03-06";1976;"Lauda";"Niki"
"United States Grand Prix West";"1976-03-28";1976;"Regazzoni";"Clay"
"Belgian Grand Prix";"1976-05-16";1976;"Lauda";"Niki"
"Monaco Grand Prix";"1976-05-30";1976;"Lauda";"Niki"
"British Grand Prix";"1976-07-18";1976;"Lauda";"Niki"
"Brazilian Grand Prix";"1977-01-23";1977;"Reutemann";"Carlos"
"South African Grand Prix";"1977-03-05";1977;"Lauda";"Niki"
"German Grand Prix";"1977-07-31";1977;"Lauda";"Niki"
"Dutch Grand Prix";"1977-08-28";1977;"Lauda";"Niki"
