surname;forename;dob
"Fagioli";"Luigi";"1898-06-09"
"Biondetti";"Clemente";"1898-08-18"
"Dusio";"Piero";"1899-10-13"
"Bonetto";"Felice";"1903-06-09"
"Comotti";"Franco";"1906-07-24"
"Taruffi";"Piero";"1906-10-12"
"Farina";"Nino";"1906-10-30"
"Rol";"Franco";"1908-06-05"
"Villoresi";"Luigi";"1909-05-16"
"Serafini";"Dorino";"1909-07-22"
"Scotti";"Piero";"1909-11-11"
"Sanesi";"Consalvo";"1911-03-28"
"Pagani";"Nello";"1911-10-11"
"Piotti";"Luigi";"1913-10-27"
"Ascari";"Alberto";"1918-07-13"
"Carini";"Piero";"1921-03-06"
"Scarlatti";"Giorgio";"1921-10-02"
"Cabianca";"Giulio";"1923-02-19"
"Prinoth";"Ernesto";"1923-04-15"
"Musso";"Luigi";"1924-07-28"
"de Riu";"Giovanni";"1925-03-10"
"Drogo";"Piero";"1926-08-08"
"Lippi";"Roberto";"1926-10-17"
"de Filippis";"Maria";"1926-11-11"
"Bussinello";"Roberto";"1927-10-04"
"Munaron";"Gino";"1928-04-02"
"Maglioli";"Umberto";"1928-06-05"
"Gerini";"Gerino";"1928-08-10"
"Mantovani";"Sergio";"1929-05-22"
"Boffa";"Menato";"1930-01-04"
"Castellotti";"Eugenio";"1930-10-10"
"Taramazzo";"Luigi";"1932-05-05"
"Abate";"Carlo";"1932-07-10"
"Perdisa";"Cesare";"1932-10-21"
"Starrabba";"Gaetano";"1932-12-03"
"Vaccarella";"Nino";"1933-03-04"
"Pirocchi";"Renato";"1933-03-26"
"Scarfiotti";"Ludovico";"1933-10-18"
"Bassi";"Giorgio";"1934-01-20"
"Brambilla";"Ernesto";"1934-01-31"
"Baghetti";"Giancarlo";"1934-12-25"
"Facetti";"Carlo";"1935-06-26"
"Natili";"Massimo";"1935-07-28"
"Bandini";"Lorenzo";"1935-12-21"
"Russo";"Giacomo";"1937-10-23"
"Brambilla";"Vittorio";"1937-11-11"
"Franchi";"Carlo";"1938-01-01"
"Galli";"Nanni";"1940-10-02"
"Lombardi";"Lella";"1941-03-26"
"Giunti";"Ignazio";"1941-08-30"
"de Adamich";"Andrea";"1941-10-03"
"Pesenti-Rossi";"Alessandro";"1942-08-31"
"Merzario";"Arturo";"1943-03-11"
"Colombo";"Alberto";"1946-02-23"
"Zorzi";"Renzo";"1946-12-12"
"Francia";"Giorgio";"1947-11-08"
"Brancatelli";"Gianfranco";"1950-01-18"
"Ghinzani";"Piercarlo";"1952-01-16"
"Giacomelli";"Bruno";"1952-09-10"
"Stohr";"Siegfried";"1952-10-10"
"Leoni";"Lamberto";"1953-05-24"
"Baldi";"Mauro";"1954-01-31"
"Patrese";"Riccardo";"1954-04-17"
"Fabi";"Teo";"1955-03-09"
"Alboreto";"Michele";"1956-12-23"
"Gabbiani";"Beppe";"1957-01-02"
"Lavaggi";"Giovanni";"1958-02-18"
"de Angelis";"Elio";"1958-03-26"
"Paletti";"Riccardo";"1958-06-15"
"de Cesaris";"Andrea";"1959-05-31"
"Nannini";"Alessandro";"1959-07-07"
"Amati";"Giovanna";"1959-07-20"
"Langes";"Claudio";"1960-07-20"
"Fabi";"Corrado";"1961-04-12"
"Barilla";"Paolo";"1961-04-20"
"Martini";"Pierluigi";"1961-04-23"
"Pirro";"Emanuele";"1962-01-12"
"Tarquini";"Gabriele";"1962-03-02"
"Barbazza";"Fabrizio";"1963-04-02"
"Modena";"Stefano";"1963-05-12"
"Capelli";"Ivan";"1963-05-24"
"Caffi";"Alex";"1964-03-18"
"Larini";"Nicola";"1964-03-19"
"Montermini";"Andrea";"1964-05-30"
"Bertaggia";"Enrico";"1964-09-19"
"Apicella";"Marco";"1965-10-07"
"Sospiri";"Vincenzo";"1966-10-07"
"Zanardi";"Alessandro";"1966-10-23"
"Schiattarella";"Domenico";"1967-11-17"
"Morbidelli";"Gianni";"1968-01-13"
"Naspetti";"Emanuele";"1968-02-24"
"Papis";"Massimiliano";"1969-10-03"
"Badoer";"Luca";"1971-01-25"
"Fisichella";"Giancarlo";"1973-01-14"
"Trulli";"Jarno";"1974-07-13"
"Pantano";"Giorgio";"1979-02-04"
"Liuzzi";"Vitantonio";"1980-08-06"
"Bruni";"Gianmaria";"1981-05-30"
"Giovinazzi";"Antonio";"1993-12-14"
